,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,_product_websites,commercant,,,categories,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,us_skus,re_skus,cs_skus,magmi_delete,
x,FDB17-CHE-1058,48,Pélardon fermier au lait cru de chèvre,Activé,,piece,2.80 €,1 fromage de 100g environ,0.100,1,2.80 €,2.8 €/piece,5,0.20,2.12 €,pelardon.jpg,pelardon.jpg,pelardon.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Chèvre,,Mon Fromager/Les Fromages des Batignolles/Chèvre;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Guy et Marylone Julien,,France Cévènes,,Non,22% de matière grasse. Ce fromage est produit dans la Drôme et l’Ardèche  et bénéficie d’une AOC et AOP depuis 1983. ,"Le Picodon et le Pélardon sont deux fromages très proches, le picodon étant plus sec que le pélardon. ","Pour le déguster, il faut prévoir de le laisser à température ambiante 1/2 heure à 1 heure avant sa consommation. A conserver au frais dans l'emballage d'origine.",,0.100,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE",,
x,FDB17-CHE-1157,102,Coeur gourmand à la Figue Fromage au lait pasteurisé de chèvre,Activé,,piece,2.80 €,1 fromage,,1,2.80 €,2.8 €/piece,5,0.20,2.12 €,FRB17_coeur_gourmand.jpg,FRB17_coeur_gourmand.jpg,FRB17_coeur_gourmand.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Chèvre,,Mon Fromager/Les Fromages des Batignolles/Chèvre;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Périgord,,Non,45% de matière grasse,,,,0.000,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE",,
x,FDB17-CHE-1152,128,Chèvre Ciboulette au lait cru de chèvre,Activé,,piece,2.40 €,1 fromage de 50g environ,0.050,1,2.40 €,2.4 €/piece,5,0.20,1.82 €,FRB17_Chevre_Ciboulette.jpg,FRB17_Chevre_Ciboulette.jpg,FRB17_Chevre_Ciboulette.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Chèvre,,Mon Fromager/Les Fromages des Batignolles/Chèvre;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Oise,,Non,25% de matière grasse,,,,0.050,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE",,
x,FDB17-CHE-1153,129,Chèvre Frais Fermier au lait cru,Activé,,piece,2.20 €,1 fromage de 40g environ,0.040,1,2.20 €,2.2 €/piece,5,0.20,1.67 €,FRB17-Chevrefrais.jpg,FRB17-Chevrefrais.jpg,FRB17-Chevrefrais.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Chèvre,,Mon Fromager/Les Fromages des Batignolles/Chèvre;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Oise,,Non,,,,,0.040,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE",,
,FDB17-CRE-1104,74,Beurre Motte,0,,kg,14.50 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-CRE-1143,172,Chantilly,0,,kg,15.00 €,?,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-CRE-1030,20,Crème Fraîche crue fermière,0,,piece,3.75 €,1 pot de 25cl,0.150,1,3.75 €,3.75 €/piece,5,0.20,2.84 €,cremefraiche.jpg,cremefraiche.jpg,cremefraiche.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France,,Non,"Fabriquée à la ferme avec du lait frais. La crème crue est la crème issue de la séparation du lait et de la crème, directement après l’écrémage et sans passer par l’étape pasteurisation. Elle est liquide et contient de 30 à 40% de matières grasses. La crème subit ensuite une étape de pasteurisation : elle est chauffée à une température de 80°C à 100°C pendant 10 à 50 secondes. Pour obtenir une crème fraîche épaisse après pasteurisation, la crème est ensemencée avec des ferments lactiques qui, après maturation, donneront à la crème cette texture plus épaisse et ce goût plus acide et plus riche.","La crème est fragile, consommer la rapidement et conserver la au frais.","Pour une chantilly, il est recommandé d’utiliser une crème liquide pasteurisée avec au moins 30% de matière grasse. Pour une sauce d’accompagnement de poissons ou de crudités, il est préférable de choisir une crème épaisse.",,0.150,Dispo lors du relevé,,,,
x,FDB17-CHE-1349,142,"Rigotte de Condrieu Chèvre sec, au lait cru",Activé,,piece,1.90 €,1 fromage de 50g environ,0.050,1,1.90 €,1.9 €/piece,5,0.20,1.44 €,FRB17_Rigotte_Condrieu.jpg,FRB17_Rigotte_Condrieu.jpg,FRB17_Rigotte_Condrieu.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Chèvre,,Mon Fromager/Les Fromages des Batignolles/Chèvre;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Loire,,Non,26% de matière grasse,,,,0.050,Dispo lors du relevé,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE",,
,FDB17-CRE-1177,290,Crème Liquide,0,,piece,1.80 €,?,,,0.00 €,1.8 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-CRE-1178,105,Crème Rimoncello,0,,piece,18.00 €,,,,0.00 €,18 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Dispo lors du relevé,,,,
,FDB17-CRE-1179,64,Crème Sicilienne,0,,piece,4.80 €,,,,0.00 €,4.8 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Dispo lors du relevé,,,,
,FDB17-CRE-1251,55,Lait Demi Écrémé 1 Litre,0,,piece,1.40 €,,,,0.00 €,1.4 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-CRE-1252,93,Lait Demi Écrémé 500 mL,0,,piece,0.90 €,1 bouteille de 500 mL,,1,0.90 €,0.9 €/piece,5,0.20,0.68 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Dispo lors du relevé,,,,
x,FDB17-CHE-1118,45,Bouton de culotte fromage au lait cru de chèvre,Activé,,piece,1.80 €,1 fomage de 40g environ,0.040,1,1.80 €,1.8 €/piece,5,0.20,1.36 €,FRB17_Bouton_Culotte.jpg,FRB17_Bouton_Culotte.jpg,FRB17_Bouton_Culotte.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Chèvre,,Mon Fromager/Les Fromages des Batignolles/Chèvre;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Bourgogne,,Non,"28% de matière grasse<br><br>Le Bouton de Culotte est un petit fromage de chèvre à croûte jaunâtre, se présentant sous la forme d’un crottin de 30 à 40 grammes. Il est parfois connu sous la dénomination de Cabrion ou de Chevreton du Mâconnais.","
Idéal pour l’apéritif, le Bouton de Culotte sera judicieusement accompagné d’un vin blanc sec de type Edelzwicker ou Bourgogne aligoté.","Bien qu’il puisse se consommer jeune, il est généralement affiné jusqu’à devenir dur et très sec. C’est à ce moment que son goût poivré typique est le plus affirmé. Au nez : forte senteur boucanée.

Au goût : long en bouche et légèrement poivré.

",,0.040,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE",,
,FDB17-CRE-1291,13,Oeuf à la pièce,0,,piece,0.40 €,,,,0.00 €,0.4 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
x,FDB17-CHE-1061,108,Rocamadour AOP au lait cru de chèvre,Activé,,piece,1.40 €,1 fromage de 35g environ,0.035,1,1.40 €,1.4 €/piece,5,0.20,1.06 €,rocamadour.jpg,rocamadour.jpg,rocamadour.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Chèvre,,Mon Fromager/Les Fromages des Batignolles/Chèvre;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Lot,AOP,Non,"28ù de matière grasse<br><br>La pâte du Rocamadour est onctueuse et crémeuse libère des saveurs subtiles de crème, de beurre et de noisette. Il porte le nom du village où il est fabriqué.",,"Pour le déguster, il faut prévoir de le laisser à température ambiante 1/2 heure à 1 heure avant sa consommation. A conserver au frais dans l'emballage d'origine.",,0.035,Dispo lors du relevé,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE",,
,FDB17-CRE-1292,252,Oeufs d'oie,0,,piece,3.80 €,,,,0.00 €,3.8 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-CRE-1293,149,Oeufs de caille,0,,piece,2.70 €,,,,0.00 €,2.7 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
x,FDB17-CRE-1018,20,Crème Fraîche crue fermière,Activé,,kg,15.00 €,1 portion de 150g,0.150,1,2.25 €,15 €/kg,5,0.20,1.71 €,cremefraiche.jpg,cremefraiche.jpg,cremefraiche.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Eure,,Non,"Fabriquée à la ferme avec du lait frais. La crème crue est la crème issue de la séparation du lait et de la crème, directement après l’écrémage et sans passer par l’étape pasteurisation. Elle est liquide et contient de 30 à 40% de matières grasses. La crème subit ensuite une étape de pasteurisation : elle est chauffée à une température de 80°C à 100°C pendant 10 à 50 secondes. Pour obtenir une crème fraîche épaisse après pasteurisation, la crème est ensemencée avec des ferments lactiques qui, après maturation, donneront à la crème cette texture plus épaisse et ce goût plus acide et plus riche.","La crème est fragile, consommer la rapidement et conserver la au frais.","Pour une chantilly, il est recommandé d’utiliser une crème liquide pasteurisée avec au moins 30% de matière grasse. Pour une sauce d’accompagnement de poissons ou de crudités, il est préférable de choisir une crème épaisse.",,0.150,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::^FDB17-CHE,re::DB17-CRE",,
,FDB17-CRE-1295,67,Oeufs gros calibre x6,0,,piece,2.40 €,,,,0.00 €,2.4 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Dispo lors du relevé,,,,
,FDB17-CRE-1425,118,Yaourt Margo par 4,0,,piece,1.00 €,,,,0.00 €,1 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,1
,FDB17-CRE-1142,176,Cervelle de canut,0,,kg,20.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,Région Lyonnaise,,Non,,,,,0.000,,,,,
,FDB17-CRE-1175,,Crème brûlée maison,0,,piece,1.20 €,,,,0.00 €,1.2 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
x,FDB17-CRE-1029,21,Fromage Frais lissé gras fermier,Activé,,kg,9.00 €,1 portion de 200g,0.200,1,1.80 €,9 €/kg,5,0.20,1.36 €,fromagefrais.jpg,fromagefrais.jpg,fromagefrais.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Bornambusc,,France Eure,,Non,"Moulé à la louche – 40 % de MG. Ce produit est fabriqué à partir de lait frais pasteurisé auquel sont ajoutés des ferments lactiques sélectionnés. Le produit final est obtenu après un lent égouttage en sac. Avec cette texture brute il est appelé caillé, non lissé ou campagne. Il ravit particulièrement les connaisseurs. Pour une texture plus onctueuse ce produit subit une étape supplémentaire de lissage.","Le fromage frais est fragile, consommer le rapidement et conserver le au frais.",Ce produit s’accommode aussi bien avec des mets salés que sucrés.,,0.200,Dispo lors du relevé,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::DB17-CRE",,
x,FDB17-CRE-1214,,Fromage frais de chèvre,0,,kg,7.00 €,1 portion de 200g,0.200,1,1.40 €,7 €/kg,5,0.20,1.06 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.200,,,,,
x,FDB17-CRE-1213,21,"Fromage frais de campagne fermier, moulé à la louche",Activé,,kg,9.00 €,1 portion de 200g,0.200,1,1.80 €,9 €/kg,5,0.20,1.36 €,FRB17_Chevre_Frais.jpg,FRB17_Chevre_Frais.jpg,FRB17_Chevre_Frais.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Bornambiuc,,France Eure,,Non,Moulé à la louche – 40 % de MG,,,,0.200,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::DB17-CRE",,
,FDB17-CRE-1393,222,Tiramisu maison,0,,piece,2.20 €,,,,0.00 €,2.2 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-AUT-1391,?,Taleggio D.O.P.,0,,kg,19.90 €,1 portion de 200g,0.200,1,3.98 €,19.9 €/kg,5,0.20,3.02 €,taleggio.jpg,taleggio.jpg,taleggio.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,Stock limité,,,,DOP,Non,,,,,0.200,Produit n'est plus disponible,,,,
,FDB17-EPI-1080,195,Aligot,0,,piece,7.00 €,,,,0.00 €,7 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-EPI-1084,38,Anchois,0,,piece,4.00 €,,,,0.00 €,4 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-EPI-1109,36,Boite Tomate pelée ou concassée,0,,piece,2.10 €,,,,0.00 €,2.1 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-EPI-1111,85,Bouillon Cube Star Boeuf,0,,piece,2.30 €,,,,0.00 €,2.3 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-EPI-1112,68,Bouillon-cubes Star,0,,piece,2.30 €,,,,0.00 €,2.3 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-EPI-1140,115,Cèpe,0,,piece,3.60 €,,,,0.00 €,3.6 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-EPI-1141,230,Cèpes secs,0,,piece,3.80 €,,,,0.00 €,3.8 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-AUT-1145,126,Charolais,0,,piece,3.75 €,,,,0.00 €,3.75 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-AUT-1146,160,Châtaignier Kg,0,,piece,15.50 €,,,,0.00 €,15.5 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-EPI-1171,170,Coulis de Fruits Abricot,0,,piece,4.95 €,,,,0.00 €,4.95 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,Collines,http://www.collines.fr/,Limousin,,Non,,,,,0.000,,,,,
x,FDB17-CRE-1004,92,Beurre Cru de Baratte Doux – 250g,Activé,,piece,3.20 €,1 beurre de 250 g environ,0.250,1,3.20 €,3.2 €/piece,5,0.20,2.43 €,beurre.jpg,beurre.jpg,beurre.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Deux Sèvres,,Non,"82% de matière grasse<br><br>Tous les beurres sont issus de la crème, mais seul le beurre cru est fabriqué à partir de crème crue, non pasteurisée.  Le beurre doux est obtenu simplement après barattage de la crème. Pour le beurre salé ou demi-sel, il est ensuite mélangé à une proportion précise de sel. Ainsi, le beurre salé contient 3% de sel, alors que le beurre demi-sel doit comprendre entre 0,5 et 3% de sel. S’il est généralement salé au sel fin, on peut aussi saler le beurre avec des cristaux de sel, afin de lui donner un peu de croquant. Le sel servait avant avant à mieux conserver le beurre. Certains fabricants, soucieux de certifier la qualité de leur beurre, précisent sur l’emballage s’il s’agit d’un beurre dit « de baratte », c'est à dire qu'il a été fabriqué dans une baratte traditionnelle.","Le beurre est fragile, consommer le rapidement et conserver le au frais.",,,0.250,Dispo lors du relevé,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::DB17-CRE",,
,FDB17-CRE-1053,69,Boite de 6 oeufs bio de l'Oise,Activé,,piece,2.70 €,1 boite de 6 Oeufs,0.150,1,2.70 €,2.7 €/piece,5,0.20,2.05 €,oeufs.jpg,oeufs.jpg,oeufs.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France (OIse),,"AB,Bio Européen","Les œufs bio viennent de poules pondeuses élevées en plein air et disposant d'un espace de 4m2 par poule au minimum. Dix semaines avant le début de la production d'oeufs, les poules sont nourries avec une alimentation bio et non-OGM. 40 % de ce qu'elles mangent doit provenir de l'élevage, ce que l'on appelle le lien au sol. Ces règles garantissent une saveur et une qualité inégalé pour ces œufs. Produit biologique.",Conserver toujours les œufs dans leur contenant original. Il n'es pas nécessaire de conserver les œufs au réfrigérateur. Respecter la date indiqué sur leur boite.,,,0.150,Dispo lors du relevé,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::DB17-CRE",,
x,FDB17-CRE-1103,70,Beurre Doux d'Echiré 250g,Activé,,piece,2.70 €,1 beurre de 250 g environ,0.250,1,2.70 €,2.7 €/piece,5,0.20,2.05 €,FRB17_Beurre_Echire.jpg,FRB17_Beurre_Echire.jpg,FRB17_Beurre_Echire.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Deux Sèvres,,Non,Beurre de baratte,,,,0.250,,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::DB17-CRE",,
x,FDB17-CRE-1100,71,Beurre de Barrate Bordier – Demi sel,Activé,,piece,2.30 €,1 beurre de 125g environ,0.125,1,2.30 €,2.3 €/piece,5,0.20,1.74 €,beurrebordier.jpg,beurrebordier.jpg,beurrebordier.jpg,petitcommis_batignolles,Les Fromages des Batignolles,Crémerie,,Mon Fromager/Les Fromages des Batignolles/Crémerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,France Bretagne,,Non,,,,,0.125,Dispo lors du relevé,,"re::^FDB17-PAT,re::^FDB17-PAB,FDB17-PAG,re::DB17-CRE",,
,FDB17-AUT-1196,101,Epoisses Coupé,0,,kg,27.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-AUT-1199,99,Extra Maigre,0,,kg,37.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
,FDB17-AUT-1200,89,Fagottoni,0,,kg,21.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,a partir de jeudi,,,,
,FDB17-AUT-1202,51,Feuilletes,0,,piece,3.50 €,,,,0.00 €,3.5 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,a partir de jeudi,,,,
,FDB17-AUT-1203,52,Feuilletes,0,,piece,3.00 €,,,,0.00 €,3 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,a partir de jeudi,,,,
,FDB17-AUT-1204,54,Filini,0,,piece,2.00 €,,,,0.00 €,2 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Produit n'est plus disponible,,,,
,FDB17-AUT-1206,163,Fleurs kg,0,,kg,11.00 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Produit n'est plus disponible,,,,
,FDB17-AUT-1207,297,Fontain Fruit,0,,piece,2.40 €,,,,0.00 €,2.4 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Produit n'est plus disponible,,,,
,FDB17-AUT-1208,296,Fontainebleau,0,,piece,2.20 €,,,,0.00 €,2.2 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Produit n'est plus disponible,,,,
,FDB17-AUT-1209,79,Fontina,0,,kg,30.90 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Produit n'est plus disponible,,,,
,FDB17-AUT-1215,285,Fromagerie,0,,piece,5.50 €,,,,0.00 €,5.5 €/piece,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,Produit n'est plus disponible,,,,
,FDB17-EPI-1397,183,Gouda Tomate Olive,0,,kg,15.50 €,,,,0.00 €,#DIV/0!,5,0.20,0.00 €,,,,petitcommis_batignolles,Les Fromages des Batignolles,Epicerie,,Mon Fromager/Les Fromages des Batignolles/Epicerie;;Mon Fromager/Les Fromages des Batignolles/Tous,,,,,,,Non,,,,,0.000,,,,,
