,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,_product_websites,store,websites,commercant,,,,produit_de_saison,,categories,Maturité (choisir une option):drop_down:1,,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
,MPB17-FSE-1032,,Jus de Grenade Alain Milliat,Activé,0,pièce,9.95 €,La bouteille de 1 litre,1.000,1,9.95 €,9.95 €/pièce,5,0.20,7.55 €,PBP17-Millat-grenade.jpg,PBP17-Millat-grenade.jpg,PBP17-Millat-grenade.jpg,Jus de Grenade Alain Milliat,Jus de Grenade Alain Milliat,Jus de Grenade Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,,,Non,"Ce jus de grenade Alain Milliat est préparé à partir de fruits provenant d'Israel. La grenade est l'un des fruits les plus cités dans les livres anciens religieux, de santé et philosophie. Ses vertues sont nombreuses, et dans de nombreux pays d'Asie Centrale, il est considéré comme une richesse.<br/><br/>Origine: Kiryat Gat (sud ouest de Jérusalem)",,,,1.000,,Jus de Grenade Alain Milliat - Au Pas De Courses,Jus de Grenade Alain Milliat - Pascal Bassard Primeur - La bouteille de 1 litre - Ce jus de grenade Alain Milliat est préparé à partir de fruits provenant d'Isr,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1029,,Jus de Mandarine Alain Milliat,Activé,0,pièce,9.95 €,La bouteille de 1 litre,1.000,1,9.95 €,9.95 €/pièce,5,0.20,7.55 €,PBP17-Millat-mandarine.jpg,PBP17-Millat-mandarine.jpg,PBP17-Millat-mandarine.jpg,Jus de Mandarine Alain Milliat,Jus de Mandarine Alain Milliat,Jus de Mandarine Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,Sicile,Slowfood,Non,"Le jus de mandarine Alain Milliat est produit à partir de la mandarine tardive de Ciaculli, du nom du petit village de Sicile où elle a été découverte. Elle se distingue par la finesse de sa peau et de son fort taux en sucre. Alain Milliat s'approvisionne auprès des petits producteurs de la région, rassemblés dans un consortium soutenu par Slowfood Italie.<br/><br/>Ingrédients: pur jus de mandarine ciaculli. Origine: Ciaculli en Sicile.",,,,1.000,,Jus de Mandarine Alain Milliat - Au Pas De Courses,Jus de Mandarine Alain Milliat - Pascal Bassard Primeur - La bouteille de 1 litre - Le jus de mandarine Alain Milliat est produit à partir de la mandarine tardi,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1031,,Jus de Pomme Cox's Alain Milliat,Activé,0,pièce,5.80 €,La bouteille de 1 litre,1.000,1,5.80 €,5.8 €/pièce,5,0.20,4.40 €,PBP17-Millat-pommecox.jpg,PBP17-Millat-pommecox.jpg,PBP17-Millat-pommecox.jpg,Jus de Pomme Cox's Alain Milliat,Jus de Pomme Cox's Alain Milliat,Jus de Pomme Cox's Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,France,,Non,"Ce jus de Pomme Cox's Alain Milliat est préparé à partir de la pomme découverte par Mr Cox au sud de l'Angleterre et introduite en France à la fin du 19e siècle. Cette variété aux arômes acidulés, à la peau rugueuse et aux parfums vifs, se révèle dans ce jus de fruit parfaitement équilibré.<br/><br/>Ingrédients: jus de pomme cox's orange ( 99.9% ), antioxydant : acide ascorbique. Origine: Campagne de Caen",,,,1.000,,Jus de Pomme Cox's Alain Milliat - Au Pas De Courses,Jus de Pomme Cox's Alain Milliat - Pascal Bassard Primeur - La bouteille de 1 litre - Ce jus de Pomme Cox's Alain Milliat est préparé à partir de la pomme décou,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1034,,Jus de Pomme Reinette Alain Milliat,Activé,0,pièce,5.50 €,La bouteille de 1 litre,1.000,1,5.50 €,5.5 €/pièce,5,0.20,4.17 €,PBP17-Millat-reinette.jpg,PBP17-Millat-reinette.jpg,PBP17-Millat-reinette.jpg,Jus de Pomme Reinette Alain Milliat,Jus de Pomme Reinette Alain Milliat,Jus de Pomme Reinette Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,France,,Non,"Ce jus de pomme Reinette d'Alain Milliat est préparé à partir d'une variété de pommes qui, contrairement à son nom, est originaire d'Angleterre. Elle a comme particularité d'avoir une fine couche de liège sur l'ensemble de son épiderme, et développe des arômes plutôt acidulés et boisés.<br/><br/>Ingrédients: pur jus de pomme reinette grise du canada. Origine: Coteaux Lyonnais",,,,1.000,,Jus de Pomme Reinette Alain Milliat - Au Pas De Courses,Jus de Pomme Reinette Alain Milliat - Pascal Bassard Primeur - La bouteille de 1 litre - Ce jus de pomme Reinette d'Alain Milliat est préparé à partir d'une var,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1028,,Jus de Tomate Alain Milliat,Activé,0,pièce,5.50 €,La bouteille de 1 litre,1.000,1,5.50 €,5.5 €/pièce,5,0.20,4.17 €,PBP17-Millattomatej.jpg,PBP17-Millattomatej.jpg,PBP17-Millattomatej.jpg,Jus de Tomate Alain Milliat,Jus de Tomate Alain Milliat,Jus de Tomate Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,,,Non,,,,,1.000,,Jus de Tomate Alain Milliat - Au Pas De Courses,Jus de Tomate Alain Milliat - Pascal Bassard Primeur - La bouteille de 1 litre - ,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-2001,,Jus de Pomme et Coing Alain Milliat,Activé,1,pièce,5.50 €,La bouteille de 1 litre,1.000,1,5.50 €,5.5 €/pièce,5,0.20,4.17 €,PBP17-juspommecoing.jpg,PBP17-juspommecoing.jpg,PBP17-juspommecoing.jpg,Jus de Pomme et Coing Alain Milliat,Jus de Pomme et Coing Alain Milliat,Jus de Pomme et Coing Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,France,,Non,"Ce jus de pomme et coing d'Alain Milliat est le seul mariage de fruit que la maison réalise, le jus de coing seul étant trop difficile à apprécier. Ce mélange est réalisé à partir de plusieurs variétés de pomme pour trouver la parfaite  combinaison entre ces 2 fruits à pépins. Alain Milliat privilégie un coing non greffé pour des raisons aromatiques.<br/><br/>Ingrédients: jus de pomme ( 80% ), jus de coing ( 20% ). Origine: pomme des côteaux Lyonnais et coing d'Alsace",,,,1.000,,Jus de Pomme et Coing Alain Milliat - Au Pas De Courses,Jus de Pomme et Coing Alain Milliat - Pascal Bassard Primeur - La bouteille de 1 litre - Ce jus de pomme et coing d'Alain Milliat est le seul mariage de fruit q,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-2002,,Nectar de Cassis Noir Bourgogne Alain Milliat,Activé,1,pièce,4.95 €,La bouteille de 330ml,0.330,1,4.95 €,4.95 €/pièce,5,0.20,3.75 €,PBP17-juscassisnoir.jpg,PBP17-juscassisnoir.jpg,PBP17-juscassisnoir.jpg,Nectar de Cassis Noir Bourgogne Alain Milliat,Nectar de Cassis Noir Bourgogne Alain Milliat,Nectar de Cassis Noir Bourgogne Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,France,,Non,"Le nectar de cassis noir Bourgogne Alain Milliat est préparé à partir de cassis français, dont les vertus thérapeutiques permettent de lutter contre la fatigue.<br/><br/>Ingrédients: eau, pulpe de cassis noir bourgogne ( 33% ), sucre, acidifiant : acide citrique, antioxydant : acide ascorbique. Origine: région de Tain l'Hermitage",,,,0.330,,Nectar de Cassis Noir Bourgogne Alain Milliat - Au Pas De Courses,Nectar de Cassis Noir Bourgogne Alain Milliat - Pascal Bassard Primeur - La bouteille de 330ml - Le nectar de cassis noir Bourgogne Alain Milliat est préparé à ,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1046,,Nectar de pêche de vigne Alain Milliat,Activé,1,pièce,4.95 €,La bouteille de 330ml,0.330,1,4.95 €,4.95 €/pièce,5,0.20,3.75 €,PBP17-juspechedevigne.jpg,PBP17-juspechedevigne.jpg,PBP17-juspechedevigne.jpg,Nectar de pêche de vigne Alain Milliat,Nectar de pêche de vigne Alain Milliat,Nectar de pêche de vigne Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,France,,Non,"Le nectar de pêche de vigne Alain Milliat est préparé à partir des fruits de cet arbre, qui à l'origine, était non greffé et planté au milieu des vignes du Beaujolais.<br/><br/> Ingrédients: pulpe de pêche de vigne cultivée ( 50% ), eau, sucre, acidifiant : acide citrique, antioxydant : acide ascorbique. Origine: Côteaux Lyonnais",,,,0.330,,Nectar de pêche de vigne Alain Milliat - Au Pas De Courses,Nectar de pêche de vigne Alain Milliat - Pascal Bassard Primeur - La bouteille de 330ml - Le nectar de pêche de vigne Alain Milliat est préparé à partir des fru,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1045,,Jus de Tomate Noire de Crimée Alain Milliat,Activé,0,pièce,4.95 €,La bouteille de 330ml,0.330,1,4.95 €,4.95 €/pièce,5,0.20,3.75 €,PBP17-Millat-tomatecrimee.jpg,PBP17-Millat-tomatecrimee.jpg,PBP17-Millat-tomatecrimee.jpg,Jus de Tomate Noire de Crimée Alain Milliat,Jus de Tomate Noire de Crimée Alain Milliat,Jus de Tomate Noire de Crimée Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,,,Non,,,,,0.330,,Jus de Tomate Noire de Crimée Alain Milliat - Au Pas De Courses,Jus de Tomate Noire de Crimée Alain Milliat - Pascal Bassard Primeur - La bouteille de 330ml - ,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1047,,Jus de tomate verte Alain Milliat,Activé,0,pièce,4.95 €,La bouteille de 330ml,0.330,1,4.95 €,4.95 €/pièce,5,0.20,3.75 €,PBP17-Millat-tomateverte.jpg,PBP17-Millat-tomateverte.jpg,PBP17-Millat-tomateverte.jpg,Jus de tomate verte Alain Milliat,Jus de tomate verte Alain Milliat,Jus de tomate verte Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,,,Non,,,,,0.330,,Jus de tomate verte Alain Milliat - Au Pas De Courses,Jus de tomate verte Alain Milliat - Pascal Bassard Primeur - La bouteille de 330ml - ,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1024,,Jus Pamplemousse Rose Alain Milliat,Activé,1,pièce,5.50 €,La bouteille de 1 litre,1.000,1,5.50 €,5.5 €/pièce,5,0.20,4.17 €,PBP17-Millat-pamplemousserose.jpg,PBP17-Millat-pamplemousserose.jpg,PBP17-Millat-pamplemousserose.jpg,Jus Pamplemousse Rose Alain Milliat,Jus Pamplemousse Rose Alain Milliat,Jus Pamplemousse Rose Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,,,Non,,,,,1.000,,Jus Pamplemousse Rose Alain Milliat - Au Pas De Courses,Jus Pamplemousse Rose Alain Milliat - Pascal Bassard Primeur - La bouteille de 1 litre - ,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
,MPB17-FSE-1027,,Jus Raisin Rose Cabernet Alain Milliat,Activé,0,pièce,5.50 €,La bouteille de 1 litre,1.000,1,5.50 €,5.5 €/pièce,5,0.20,4.17 €,PBP17-Millatrosecabernet.jpg,PBP17-Millatrosecabernet.jpg,PBP17-Millatrosecabernet.jpg,Jus Raisin Rose Cabernet Alain Milliat,Jus Raisin Rose Cabernet Alain Milliat,Jus Raisin Rose Cabernet Alain Milliat,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Epicerie,Jus de fruits Alain Milliat,;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,Non,Primeur/Pascal Bassard Primeur/Epicerie,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Epicerie/Jus de fruits Alain Milliat;;Epicier/Pascal Bassard Primeur/Jus de fruits Alain Milliat,,,,Alain Millat,http://www.alain-milliat.com/fr/,,,Non,,,,,1.000,,Jus Raisin Rose Cabernet Alain Milliat - Au Pas De Courses,Jus Raisin Rose Cabernet Alain Milliat - Pascal Bassard Primeur - La bouteille de 1 litre - ,,"re::^MPB17-FSE-102,re::^MPB17-FSE-102,re::^FDB17-VEB,re::^FDB17-PER,re::^FDB17-HUI",
x,MPB17-AUF-1092,41,Kiwi,Activé,0,piece,0.60 €,La pièce (environ 70g),0.070,1,0.60 €,0.6 €/piece,5,0.20,0.45 €,PBP17-kiwi.jpg,PBP17-kiwi.jpg,PBP17-kiwi.jpg,Kiwi,Kiwi,Kiwi,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Autres fruits,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Autres fruits,,,,,,France,,Non,"Dégusté depuis 2 000 ans en Chine, le kiwi séduit aujourd’hui le monde entier. En France, il est cultivé dans trois régions, dont l’une détient même un Label Rouge. Le kiwi commercialisé en France de novembre à mai y est généralement produit. En revanche, le kiwi vendu durant l'été et le début de l'automne est importé de Nouvelle-Zélande","Roi du sucré-salé, le kiwi se prête aussi bien aux desserts, qu’aux entrées ou aux plats de résistance",,,0.070,Siason: 123456789OND,Kiwi - Au Pas De Courses,"Kiwi - Pascal Bassard Primeur - La pièce (environ 70g) - Dégusté depuis 2 000 ans en Chine, le kiwi séduit aujourd’hui le monde entier. En France, il est cultiv","MPB17-AUF-1093,MPB17-AUF-1062",re::^MPB17-AGR,
,MPB17-AUF-1091,366,Kiwi Gros,Activé,0,pièce,1.20 €,La pièce de 160g environ,0.180,,0.00 €,1.2 €/pièce,5,0.20,0.00 €,PBP17-kiwigros.jpg,PBP17-kiwigros.jpg,PBP17-kiwigros.jpg,Kiwi Gros,Kiwi Gros,Kiwi Gros,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Autres fruits,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Autres fruits,,,,,,France,,Non,,,,,0.000,,Kiwi Gros - Au Pas De Courses,Kiwi Gros - Pascal Bassard Primeur - La pièce de 160g environ - ,,,
,MPB17-OAE-1113,42,"La botte d'oignon frais blanc
",Activé,0,botte,1.95 €,La botte de 500g,0.500,1,1.95 €,1.95 €/botte,5,0.20,1.48 €,PBP17-botteoignonfrais.jpg,PBP17-botteoignonfrais.jpg,PBP17-botteoignonfrais.jpg,"La botte d'oignon frais blanc
","La botte d'oignon frais blanc
","La botte d'oignon frais blanc
",apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,"Oignons, Ails & Echalottes",,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,"Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Oignons, Ails & Echalottes",,456789,,,,Italie,,Non,"Choisissez les oignons blancs quand leurs feuilles sont encore vertes, c'est un signe de fraîcheur. Attention, ces oignons frais ne se conservent pas plus d'une semaine au réfrigérateur.
Débarrassez-les de leur feuilles, de leur racines et passez les sous l'eau : ils sont prêt à être dégustés en apéritif ou en salade. Ceux d'août dans le Midi, frais et croquants, sont très savoureux.",,,,0.500,,"La botte d'oignon frais blanc
 - Au Pas De Courses","La botte d'oignon frais blanc
 - Pascal Bassard Primeur - La botte de 500g - Choisissez les oignons blancs quand leurs feuilles sont encore vertes, c'est un sig",,re::^MPB17-OAE,
x,MPB17-LRA-1030,328,La botte de carottes colorées,0,0,pièce,2.50 €,la botte,,1,2.50 €,2.5 €/pièce,5,0.20,1.90 €,PBP17-botteminicarotte.jpg,PBP17-botteminicarotte.jpg,PBP17-botteminicarotte.jpg,La botte de carottes colorées,La botte de carottes colorées,La botte de carottes colorées,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Légumes Racines,,Oui,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Légumes Racines;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,12389OND,,,,France,,Non,"Toujours disponible et très bon marché, la carotte est aujourd’hui le deuxième légume le plus consommé en France, juste derrière la tomate. Elle renferme de très nombreux minéraux et vitamines. D’après l’adage, elle rendrait même aimable…",,,,0.000,,La botte de carottes colorées - Au Pas De Courses,"La botte de carottes colorées - Pascal Bassard Primeur - la botte - Toujours disponible et très bon marché, la carotte est aujourd’hui le deuxième légume le plu",,,
,MPB17-AUF-1094,410,Le lot de 5 kiwis,Activé,0,lot,2.50 €,Les 5 kiwis,,1,2.50 €,2.5 €/lot,5,0.20,1.90 €,PBP17-lot5kiwis.jpg,PBP17-lot5kiwis.jpg,PBP17-lot5kiwis.jpg,Le lot de 5 kiwis,Le lot de 5 kiwis,Le lot de 5 kiwis,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Autres fruits,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Autres fruits;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,12345ND,,,,France,,Non,"Dégusté depuis 2 000 ans en Chine, le kiwi séduit aujourd’hui le monde entier. En France, il est cultivé dans trois régions, dont l’une détient même un Label Rouge !",,,,0.000,,Le lot de 5 kiwis - Au Pas De Courses,"Le lot de 5 kiwis - Pascal Bassard Primeur - Les 5 kiwis - Dégusté depuis 2 000 ans en Chine, le kiwi séduit aujourd’hui le monde entier. En France, il est cult",,,
x,MPB17-AUL-1013,220,Lot de 3 petits avocats,Activé,0,lot,3.90 €,"Le lot de 3, petit calibre",,1,3.90 €,3.9 €/lot,5,0.20,2.96 €,PBP17-lot3avocats.jpg,PBP17-lot3avocats.jpg,PBP17-lot3avocats.jpg,Lot de 3 petits avocats,Lot de 3 petits avocats,Lot de 3 petits avocats,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,Prêt à consommer|A laisser mûrir,,,,,Espagne,,Non,,,,,0.000,,Lot de 3 petits avocats - Au Pas De Courses,"Lot de 3 petits avocats - Pascal Bassard Primeur - Le lot de 3, petit calibre - ",,re::^MPB17-SAL,
x,MPB17-SAL-1097,110,Mâche au kilo,Activé,0,kg,15.00 €,La portion de 100g,0.100,1,1.50 €,15 €/kg,5,0.20,1.14 €,PBP17-mache.jpg,PBP17-mache.jpg,PBP17-mache.jpg,Mâche au kilo,Mâche au kilo,Mâche au kilo,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Salade,,Oui,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Salade;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,1234OND,,,,France,,Non,"Avec la laitue et la chicorée, la mâche constitue la troisième grande famille de salades. Ces rosettes de feuilles rondes, d’un beau vert foncé et brillant, sont charnues et croquantes. Originaire du bassin méditerranéen, la mâche fait figure de salade hivernale de référence sur les étals, même si elle se consomme tout au long de l’année. Son goût subtil et raffiné vous régale lorsqu’elle est crue, en salade, mais aussi cuite, en velouté et en accompagnement.",,,,0.100,,Mâche au kilo - Au Pas De Courses,"Mâche au kilo - Pascal Bassard Primeur - La portion de 100g - Avec la laitue et la chicorée, la mâche constitue la troisième grande famille de salades. Ces rose",,"re::^MPB17-SAL,MPB17-AFR-1134",
x,MPB17-AGR-1009,139,Mandarine Orri Llusar,0,0,kg,5.95 €,Les 500g,0.500,1,2.98 €,5.95 €/kg,5,0.20,2.26 €,PBP17-Clementine.jpg,PBP17-Clementine.jpg,PBP17-Clementine.jpg,Mandarine Orri Llusar,Mandarine Orri Llusar,Mandarine Orri Llusar,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Agrumes,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Agrumes;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123OND,,,,Espagne,,Non,"La clémentine est un hybride entre le mandarinier et l'orange douce. La clémentine n'a pas de pépins contrairement à la mandarine. C'est un fruit vert à maturité, qui ne devient orange que sous l'effet de la baisse de température hivernale.",,,,0.500,,Mandarine Orri Llusar - Au Pas De Courses,Mandarine Orri Llusar - Pascal Bassard Primeur - Les 500g - La clémentine est un hybride entre le mandarinier et l'orange douce. La clémentine n'a pas de pépins,,re::^MPB17-AGR,
